* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  435A  *     435A  Departed:  On time.
* ALN  *  *     1  522A  *     536A  Departed:  14 minutes late.
* CRV  *  *     1  550A  *     609A  Departed:  19 minutes late.
* SPI  *  *     1  632A  *     648A  Departed:  16 minutes late.
* LCN  *  *     1  700A  *     729A  Departed:  29 minutes late.
* BNL  *  *     1  731A  *     802A  Departed:  31 minutes late.
* PON  *  *     1  759A  *     831A  Departed:  32 minutes late.
* DWT  *  *     1  817A  *     859A  Departed:  42 minutes late.
* JOL  *  *     1  859A  *     937A  Departed:  38 minutes late.
* SMT  *  *     1  924A  *     1005A Departed:  41 minutes late.
* CHI  1  1000A *  *     1050A *     Arrived:  50 minutes late.
