* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  825A  *     825A  Departed:  On time.
* OLT  *  *     1  832A  *     841A  Departed:  9 minutes late.
* SOL  *  *     1  902A  *     911A  Departed:  9 minutes late.
* OSD  *  *     1  923A  *     934A  Departed:  11 minutes late.
* SNC  *  *     1  1001A *     1016A Departed:  15 minutes late.
* IRV  *  *     1  1016A *     1046A Departed:  30 minutes late.
* SNA  *  *     1  1027A *     1058A Departed:  31 minutes late.
* ANA  *  *     1  1036A *     1107A Departed:  31 minutes late.
* FUL  *  *     1  1045A *     1120A Departed:  35 minutes late.
* LAX  1  1125A 1  1148A 1155A 1204P Arrived:  30 minutes late.           |  Departed:  16 minutes late.
* GDL  *  *     1  1200P *     1218P Departed:  18 minutes late.
* BUR  *  *     1  1210P *     1230P Departed:  20 minutes late.
* VNC  *  *     1  1220P *     1240P Departed:  20 minutes late.
* CWT  *  *     1  1232P *     1253P Departed:  21 minutes late.
* SIM  *  *     1  1244P *     105P  Departed:  21 minutes late.
* MPK  *  *     1  1256P *     117P  Departed:  21 minutes late.
* OXN  *  *     1  116P  *     138P  Departed:  22 minutes late.
* VEC  *  *     1  130P  *     205P  Departed:  35 minutes late.
* CPN  *  *     1  152P  *     236P  Departed:  44 minutes late.
* SBA  *  *     1  216P  *     307P  Departed:  51 minutes late.
* GTA  1  232P  *  *     318P  *     Arrived:  46 minutes late.
