* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  510P  *     510P  Departed:  On time.
* FUL  *  *     1  542P  *     542P  Departed:  On time.
* ANA  *  *     1  551P  *     551P  Departed:  On time.
* SNA  *  *     1  600P  *     600P  Departed:  On time.
* IRV  *  *     1  613P  *     613P  Departed:  On time.
* SNC  *  *     1  627P  *     629P  Departed:  2 minutes late.
* OSD  *  *     1  704P  *     704P  Departed:  On time.
* CBV  *  *     1  709P  *     709P  Departed:  On time.
* SOL  *  *     1  722P  *     733P  Departed:  11 minutes late.
* SRB  *  *     1  733P  *     742P  Departed:  9 minutes late.
* OLT  *  *     1  756P  *     813P  Departed:  17 minutes late.
* SAN  1  818P  *  *     820P  *     Arrived:  2 minutes late.
