* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  405P  *     405P  Departed:  On time.
* HMW  *  *     1  446P  *     447P  Departed:  1 minute late.
* KKI  *  *     1  512P  *     525P  Departed:  13 minutes late.
* GLM  *  *     1  534P  *     548P  Departed:  14 minutes late.
* RTL  *  *     1  600P  *     616P  Departed:  16 minutes late.
* CHM  *  *     1  615P  *     633P  Departed:  18 minutes late.
* MAT  *  *     1  655P  *     722P  Departed:  27 minutes late.
* EFG  *  *     1  719P  *     749P  Departed:  30 minutes late.
* CEN  *  *     1  806P  *     838P  Departed:  32 minutes late.
* DQN  *  *     1  839P  *     909P  Departed:  30 minutes late.
* CDL  1  935P  *  *     927P  *     Arrived:  8 minutes early.
