* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  300P  *     300P  Departed:  On time.
* ALN  *  *     1  347P  *     415P  Departed:  28 minutes late.
* CRV  *  *     1  414P  *     443P  Departed:  29 minutes late.
* SPI  *  *     1  456P  *     609P  Departed:  1 hour, 13 minutes late.
* LCN  *  *     1  524P  *     641P  Departed:  1 hour, 17 minutes late.
* BNL  *  *     1  556P  *     713P  Departed:  1 hour, 17 minutes late.
* PON  *  *     1  623P  *     749P  Departed:  1 hour, 26 minutes late.
* DWT  *  *     1  641P  *     805P  Departed:  1 hour, 24 minutes late.
* JOL  *  *     1  726P  *     840P  Departed:  1 hour, 14 minutes late.
* SMT  *  *     1  751P  *     905P  Departed:  1 hour, 14 minutes late.
* CHI  1  840P  *  *     955P  *     Arrived:  1 hour, 15 minutes late.
