* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  300P  *     300P  Departed:  On time.
* ALN  *  *     1  347P  *     347P  Departed:  On time.
* CRV  *  *     1  414P  *     416P  Departed:  2 minutes late.
* SPI  *  *     1  456P  *     553P  Departed:  57 minutes late.
* LCN  *  *     1  524P  *     619P  Departed:  55 minutes late.
* BNL  *  *     1  556P  *     650P  Departed:  54 minutes late.
* PON  *  *     1  623P  *     728P  Departed:  1 hour, 5 minutes late.
* DWT  *  *     1  641P  *     744P  Departed:  1 hour, 3 minutes late.
* JOL  *  *     1  726P  *     818P  Departed:  52 minutes late.
* SMT  *  *     1  751P  *     842P  Departed:  51 minutes late.
* CHI  1  840P  *  *     906P  *     Arrived:  26 minutes late.
